'blue chip' share	蓝筹股
Kelly	凯莉（女名）
Ken	肯（男名）
Kent	n. 肯特
Kenya	n. 肯尼亚，肯尼亚（非洲国家）
Kevin	凯文（男名）
Kim	金（人名）
King Lear	李尔王
Kitty	n. 基蒂（女名）
Kobe	科比（美国职业篮球运动员）
Konigsberg	n. 哥尼斯堡（俄罗斯港市Kaliningrad的旧称）
Korea	朝鲜；韩国，韩国；朝鲜 n. 朝鲜；韩国，韩国，韩国；朝鲜
Korean	adj. 朝鲜人的；韩国人的 n.
Kosciuszko	科西阿斯科山（位于澳大利亚东南部）
Krista	克里斯塔（人名）
Kung Fu Panda	《功夫熊猫》（电影名）
L	（尤指服装的尺码）大号的
LCD	液晶显示器（=liquid crystal display）
LCD monitor	液晶显示器
LSD	n. 迷幻药
Labour Day	劳动节
Lake Ontario	安大略湖
Lake Superior	苏必利尔湖
Lake Taupo	陶波湖（新西兰最大湖）
Lake Titicaca	的的喀喀湖
Lantern Festival	元宵节
Laos	n. 老挝（东南亚国家）
Laotian	adj.  n.
Larry	拉里（男名）
Larry Belmont	拉里•贝尔蒙特
Latin	adj. 拉丁语的，拉丁人的 n. 拉丁语；拉丁系语言 n.&adj. 拉丁语（的）
Laura	劳拉（女名）
Lausanne	洛桑（瑞士城市）
Lebanon	n. 黎巴嫩
Leningrad	n. 列宁格勒（苏联城市）
Leonardo da Vinci	列奥纳多•达•芬奇（意大利著名画家）
Lester	n. 莱斯特（姓氏；男名）
Let me see.	让我想想。
Let's be friends.	让我们成为朋友吧。
Let's play a game!	让我们来玩个游戏！
Let's see.	让我们想想
Let's...	咱们……
Lia	n. 莉亚（女名）
Lily	莉莉（人名）
Lima	n. 利马（秘鲁首都）
Linda	琳达（女名）
Linux	一种操作系统
Lionel Greenstreet	莱昂内尔•格林斯特里特
Lisa	丽莎（人名），莉萨（女名）
Little Red Riding Hood	《小红帽》
Little Women	《小妇人》
Liverpool	利物浦
Loch Ness Monster	尼斯湖水怪
London	伦敦，伦敦（地名），（英国城市）伦敦 n. 伦敦
London Eye	（伦敦的摩天轮）伦敦眼
London Heathrow Airport	伦敦希思罗机场
Look out!	当心！注意！
Lord knows	众所周知；谁都知道
Lori	n. 罗丽（女名）
Los Angeles	n. 洛杉矶
Lost and Found	失物招领处
Love Me Do	《爱我吧》
Ltd	有限责任公司(=Limited)
Lucas	卢卡斯（人名）
Lucy	露西（女名）
Luke	卢克（男名）
Lynn	琳（人名）
M	（尤指服装的尺码）中号的
MBps	兆位／秒
MC-ing	n. 司仪；节目主持
MIDI port	MIDI端口
MIDI(musical instrument digital interface)	音乐设备数字接口
MP3	一种音频压缩格式
Mac OS X	Mac操作系统第10版
Macao	澳门
Macau	n. 澳门
Machu Picchu	马丘比丘（秘鲁）
Macintosh operating system	麦金托什操作系统
Madagascar	n. 马达加斯加
Madison	n. 麦迪逊
Maha Kumbh Mela	（印度每12年一次的）瓦罐庙会
Maikhao Beach	麦拷海滩
Make a wish.	许个愿吧。
Malawi	n. 马拉维（非洲国家）
Malaysia	马来西亚 n. 马来西亚（东南亚国家）；马来群岛
Malaysian	adj.  n.
Manchu	adj.  n.
Mandy	曼迪（女名）
Manhattan	n. 曼哈顿岛；曼哈顿区（纽约市中心）
Maori	adj. 毛利人的 n. （新西兰的）毛利人；毛利语，(新西兰)毛利人
Mar.	三月（缩写）
Marc LeBlanc	马克·勒布朗，马克•勒布朗
March	3月，三月 n. (Mar.)三月，3月，三月
March of the Penguins	《帝企鹅日记》（电影名）
Marco Polo	马可•波罗，马可•波罗（十四世纪意大利商人、旅行家）
Marcus	马库斯（男名）
Margaret Mitchell	玛格丽特•米切尔
Margot	n. 玛戈（女名）
Maria	玛丽亚（女名）
Mariana	玛丽安娜（人名）
Marie	玛丽（女名）
Mario	马里奥（男名）
Marion	n. 玛丽昂（女名）
Mark	马克（男名）
Mark Twain	马克•吐温（美国作家）
Mars	火星 n. 火星
Martian	adj. 火星的
Martin	马丁（姓氏）
Martin Luther King	马丁·路德·金，马丁•路德•金
Martin Luther King, Jr	马丁•路德•金
Marty Fielding	马蒂•菲尔丁
Mary	玛丽（人名），玛丽（女名）
Maryann Jones	玛丽安•琼斯
Maryland	n. （美国）马里兰州
Masaccio	马萨乔（意大利画家）
Massachusetts	n. （美国）马萨诸塞州
Maths	数学（Math），数学（课），（学科）数学
Matisse	马蒂斯（法国画家）
Matt	马特（男名）
Mauritius	n. 毛里求斯（非洲东部岛国）
May	5月，五月，梅（女名） n. 5月，五月
May Day	五一劳动节，国际劳动节
May I have...?	我可以吃（买）……吗？
May I help you?	我可以为你效劳吗？
May I speak to...please?	我能跟……说话吗？
May/Can I help you?	我能为你效劳吗？
Mayella	梅耶拉
Me too.	我也一样。，我也是。
Me, too.	我也是
Mekong	n. 湄公河
Melbourne	墨尔本（澳大利亚东南部港市；维多利亚州首府）
Memory Stick®	记忆棒
Men in Black	《黑衣人》（电影名）
Mercury	水星
Merlin the Wizard	n. 魔术师梅林
Merry Christmas	圣诞快乐
Merry Christmas!	圣诞快乐！
Messi	梅西（阿根廷足球运动员）
Mexican	adj.  n. 墨西哥人
Mexico	墨西哥，墨西哥（地名），墨西哥（北美洲国家） n. 墨西哥，墨西哥（拉丁美洲国家）
Michael	迈克尔（人名），迈克尔（男名）
Michelangelo	米开朗基罗（意大利文艺复兴雕刻家、画家、建筑师和诗人）
Mickey Mouse	米老鼠
MicrodriveTM	一种迷你存储器
Mid-Autumn Festival	中秋节
Mid-autumn Festival	中秋节
Midlands	英格兰中部地区（英）
Midori	宓多里（日本小提琴家）
Midwestern	adj. 美国中西部的
Mike	迈克（男名），麦克（人名）
Miller	米勒（姓）
Mills	米尔斯（姓）
Milu deer	麋鹿
Minnie	明妮（女名）
Minute Waltz	《一分钟圆舞曲》
Miss	小姐，小姐，女士（用于未婚女子姓氏前），小姐，女士（用于未婚女子姓氏或姓名前，以示礼貌），小姐；老师，老师；小姐，（称呼）女士，小姐 n. 女士，小姐，女士；小姐，小姐，小姐（对未婚女性的称呼）；老师
Mississippi	n. 密西西比河；密西西比州（美国州名）
Mississippi River	密西西比河
Missouri	n. 密苏里州（美国州名）
Mohandas Gandhi	莫罕达斯•甘地（印度国民大会党领袖）
Molly	莫莉（女名）
Mona Lisa	蒙娜•丽莎（达•芬奇所作的一幅著名肖像画）
Monday	星期一 n. 星期一
Monet	莫奈（法国画家）
Mongolian	n. 蒙古人
Monica	莫妮卡（人名）
Monkey King	猴王
Montgomery	蒙哥马利（城市名）
Morse code	莫尔斯电码
Moscow	莫斯科
Moslem	 adj.  n.
Mother's Day	母亲节
Mount	Kilauea 基拉韦厄火山
Mount Etna	埃特纳火山（意大利西西里岛东北部）
Mount Kilimanjaro	n. 乞力马扎罗山（位于坦桑尼亚；非洲最高山）
Mount Taishan	泰山
Mount Vesuvius	维苏威火山
Moving Pictures Experts Group(MPEG)	一种动态图像与声音压缩标准
Mozart	莫扎特（奥地利作曲家）
Mr	先生 n. 先生
Mr.	先生（用于男子的姓氏或姓名前），（用于男子的姓氏或姓名前）先生 n. 先生（=Mister）
Mrs	太太，太太，夫人，夫人，太太，夫人；太太，夫人 n. 太太，夫人，夫人，太太
Mrs.	夫人；太太（用在已婚女子的夫姓或夫的姓名前），（用于女子的姓氏或姓名前）太太；夫人 n. 太太，夫人
Ms	女士，（用于女子的姓氏或姓名前，不指明婚否）女士 n. 女士
Ms.	女士（用于女子的姓氏或姓名前，不指明婚否），（用于女子的姓氏或姓名前，不指明婚否）女士 n. 女士
Munich	慕尼黑（德国城市）
Music	音乐（课），（学科）音乐
Musical Instrument Digital Interface	乐器数字接口
Muslim	adj.  n. 伊斯兰教信徒，穆斯林，伊斯兰教信徒，（常作复数）穆斯林
NBA	(National Basketball Association)国家篮球协会（美国职业篮球联赛），国家篮球协会（美国职业篮球联赛） (National Basketball Association)，美国职业篮球联赛，（美国）全国篮球协会
NBA All-Star	美职篮全明星赛
Nagoya	n. 名古屋（日本港市）
Nancy	南希（女名）
Napier	内皮尔（新西兰北岛东岸港口城市）
Nashville	纳什维尔（美国田纳西州府），纳什维尔（美国田纳西州首府）
Nathaniel Ward	纳撒尼尔•沃德
National Day	国庆节，国庆日
National Science Museum	国家科学博物馆
Native American Indian	n. 北美印第安人
Nazi	adj. 纳粹的 n. 纳粹党人，纳粹分子；凶残的人，纳粹分子
Negro	n. [过时]黑人
Nelly	内莉（女名）
Nelson Mandela	纳尔逊•曼德拉（前南非共和国总统）
Nepal	n. 尼泊尔（亚洲国家）
Neptune	海王星
NetWare	一种网络操作系统
Netherlands	n. 荷兰（西欧国家）
Nevada	n. （美国）内华达州
New Year	新年
New Year's Day	新年
New York	纽约，纽约（地名） n. 纽约
New York City	纽约
New Zealand	新西兰，新西兰（地名） n. 新西兰
Niagara	n. 尼亚加拉（河；瀑布）
Niagara Falls	尼亚加拉大瀑布，（北美洲）尼亚加拉大瀑布
Nice to meet you!	很高兴见到你！
Nice to meet you.	很高兴见到你（们）。，很高兴认识你。，很高兴遇见你，见到你真高兴。
Nick	尼克（人名），尼克（男名）
Nicolaus Copernicus	尼古拉•哥白尼（波兰天文学家）
Nigeria	n. 尼日利亚
Night Safari	夜间动物园，夜间野生动物园
Nile	尼罗河
No eating or drinking.	请勿饮食。
No entry.	禁止入内。
No littering.	请勿乱扔垃圾。
No parking.	请勿停车。
No problem.	没问题。
No smoking.	请勿吸烟。
No, thank you.	不，谢谢你。
No.	（number的缩写）第……号
Noah	诺亚（人名）
Noah Webster	诺厄•韦伯斯特（美国词典编纂家）
Nobel	诺贝尔（人名）
Nobel Peace Prize	诺贝尔和平奖
Nobel Prize	诺贝尔奖
Norman	adj.  n.  n.&adj. 诺曼人（的）
Norman Bethune	诺尔曼•白求恩，诺曼•白求恩（加拿大胸外科医师）
North American	北美人
North Pole	北极
Northern Ireland	北爱尔兰（英）
Norway	挪威 n. 挪威
Norwegian	adj.  n.
Not so good.	不太好。
Notional Day	国庆节
Notre Dame Cathedral	（法国）巴黎圣母院
Nov.	十一月（缩写）
November	11月，十一月 n. (Nov.)十一月，11月，十一月
Nullarbor	纳拉伯平原（位于澳大利亚西南部，火箭制造基地和试验场）
Nunavut	n. 努纳武特区（加拿大地区名）
OCR(optical character recognition) software	光学文字识别软件
OK	好的，好的；行，好，行，可以，好；行，行，好 adj.  adj.&adv. &int.（口语）好；对；不错；可以（=okay） adv. (=okay)好，对；不错 excl. 好，行，对 int. 行，好（用于表示同意、赞成或理解） interj.  interj.&adv. 好；可以
OS/2 Warp Client	OS/2 Warp客户端操作系统
Obon	n. 盂兰盆节
Ocean Park	（香港）海洋公园
Oceania	n. 大洋洲
Oct.	十月（缩写）
October	10月，十月 n. (Oct.)十月，10月，十月
Odysseus	奥德修斯
Of course.	当然。
Oh dear!	天啊！，哎呀！天哪！
Oliver	n. 奥利弗（男名）
Oliver Twist	《雾都孤儿》
Olympia	奥林匹亚（地名） n. 奥林匹亚（希腊古城）
Olympic	adj. 奥林匹克的，奥林匹克运动会的，奥运会的
Olympics	奥林匹克 n. [pl.]奥运会，奥林匹克竞赛；奥运会，奥林匹克运动会
Open your book.	打开书。(Close your book.合上书。)
Orlando	奥兰多
Orson Welles	奥森·韦尔斯，奥森•韦尔斯
Osaka	大阪
Oscar	奥斯卡奖 n. 奥斯卡
Oswald	奥斯瓦尔德
Ottawa	渥太华，渥太华（地名） n. 渥太华，渥太华（加拿大首都）
Owen	欧文（本课作动物名）
Oxford	（英国城市）牛津 n. 牛津
P	停车场；停车位
P.E.	体育 n. (= physical education)体育，体育（=physical education），(=physical education)体育
P.M.	(=p.m.)下午；午后
P.S.	n. （信末署名后的）附言；又及（=postscript）
PC	个人电脑；个人计算机(=personal computer) abbr. 个人电脑(personal computer的缩写)
PC Card	个人电脑卡
PC camera	数码摄像头
PC video camera	数码视频头
PDA	个人数字助理；掌上电脑(=Personal Digital Assistant)，掌上电脑；个人数码助理(personal digital assistant)
PE	体育，体育(=physical education)，体育（课），体育（课）（=physical education），（学科）体育，体育；体育课(physical education) n. 体育（课），体育；体育课(=physical education)
PE class	体育课
PNG format	可移植网络图像格式
PRC	中华人民共和国
PS	附言（用于信末）
Pacific	adj. 太平洋的 n.&adj. 太平洋（的）
Pacific Ocean	太平洋
Painted Desert	彩色沙漠
Pakistan	n. 巴基斯坦
Pakistani	adj.  n.
Palace Museum	故宫
Pam	帕姆（女名）
Panda	熊猫
Papa Westray	帕帕韦斯特雷岛
Papua New Guinea	巴布亚新几内亚
Parents' Day	家长日
Paris	n. 巴黎
Pass me the milk, please!	请把牛奶递给我！
Patrick	帕特里克（人名）
Paul	保罗（人名），保罗（男名）
Paul Stoker	保罗·斯托克，保罗•斯托克
Paula	葆拉（女名）
Pausanias	帕萨尼亚斯（男名；古希腊人名）
Pearce	皮尔斯（姓）
Penang Hill	槟城山（马来西亚）
Penelope	珀涅罗珀（Odysseus的忠实妻子）
Perce Blackborow	珀斯•布莱克鲍罗
Perseus	珀尔修斯（希腊主神宙斯之子，杀女怪Medusa的英雄）
Persian	adj.  n. 波斯人
Perth	珀思（澳大利亚西南部港口城市）
Peru	n. 秘鲁，秘鲁（南美洲），秘鲁（南美国家）
Peter	彼得（人名），彼得（男名）
Peter the Great	彼得大帝（俄国皇帝）
PhD	(=Doctor of Philosophy)（哲学）博士学位，哲学博士学位；博士学位（=Doctor of Philosophy） abbr. （哲学）博士学位(Doctor of Philosophy的缩写)
Philadelphia	n. 费城（美国宾夕法尼亚州重要港口）
Philippines	菲律宾共和国 n. 菲律宾
Phoebe	土卫九
Picasso	毕加索（西班牙画家）
Pickering	皮克林（姓）
Ping Pong ball	乒乓球
Plains Indian	n. 平原印第安人；大草原印第安人
Playground	操场
Please be quiet!	请安静！
Pleased to meet you!	很高兴见到你！
Plug and Play	即插即用
Pluto	冥王星
Plymouth	n. （美国马萨诸塞州）普利茅斯
Pocket PC	一种掌上电脑
Pocket PC 2002	一种操作系统
Point to your chair.	指向你的椅子。
Poland	波兰
Polish	adj.  n.
Polynesia	n. 波利尼西亚
Polynesian	adj. 波利尼西亚的
Pompeii	庞培（意大利古都）
Portugal	n. 葡萄牙
Prime Minister	n. 首相，总理
Princeton	普林斯顿（地名）
Procrustes	普罗克拉斯提斯（古希腊传说中Attica的一个强盗）
Protestant	n. 新教；新教徒
Prussia	n. （史）普鲁士
Prussian	adj.  n.
Puno	n. 普诺（秘鲁）
Put on your hat.	戴上你的帽子。
Put the shirt away.	拿开衬衫。
Pygmalion	n. 皮格马利翁（希腊神话）
Qingming Festival	清明节
Qomolangma	珠穆朗玛峰 n. 珠穆朗玛峰
Quaker	n. 教友派信徒；贵格会会员
Queen's Park	女王公园
RAM	随机存储器
RSVP	（请帖等用语）请答复，（尤用于请柬）请赐复
Rafflesia arnoldii	n. 大王花
Raise your hand.	举起你的手。
Regan	里根
Rex	雷克斯（人名）
Rick	里克（男名）
River Avon	埃文河
River Severn	塞文河
River Thames	泰晤士河
Riverside High School	河畔中学
Robben Island	罗本岛
Robert	罗伯特（男名）
Robin	罗宾（人名）
Robinson Crusoe	《鲁滨逊漂流记》
Rocky Mountains	落基山脉
Roderick	n. 罗德里克（男名）
Roman	古罗马人 adj. 古罗马的，古罗马帝国的 adj.&n. 罗马的；罗马人，罗马人（的） n. (～nose)鹰钩鼻，罗马人
